match_id,group,team1,team2,matchday,city,stadium,date,kickoff_time,risk,capacity,person_weighted_risk
I_6,I,2,3,3,Boston,Gillette Stadium,6/26/2026,18:00,24.32,64146,1560030.72
J_1,J,1,2,1,Toronto,BMO Field,6/16/2026,12:00,23.93,43036,1029851.48
J_2,J,3,4,1,San Francisco Bay Area,Levi's Stadium,6/15/2026,21:00,17.71,68827,1218926.17
J_3,J,1,3,2,Atlanta,Mercedes-Benz Stadium,6/20/2026,15:00,22.58,68239,1540836.62
J_4,J,2,4,2,Mexico City,Estadio Azteca,6/20/2026,21:00,15.77,80824,1274594.48
J_5,J,1,4,3,New York New Jersey,MetLife Stadium,6/26/2026,21:00,22.66,80663,1827823.58
J_6,J,2,3,3,San Francisco Bay Area,Levi's Stadium,6/26/2026,21:00,17.71,68827,1218926.17
K_1,K,1,2,1,San Francisco Bay Area,Levi's Stadium,6/13/2026,21:00,17.71,68827,1218926.17
K_2,K,3,4,1,Atlanta,Mercedes-Benz Stadium,6/15/2026,15:00,22.58,68239,1540836.62
K_3,K,1,3,2,Mexico City,Estadio Azteca,6/19/2026,21:00,15.77,80824,1274594.48
K_4,K,2,4,2,Seattle,Lumen Field,6/20/2026,12:00,20.37,66925,1363262.25
K_5,K,1,4,3,Guadalajara,Estadio Akron,6/26/2026,18:00,21.85,45664,997758.4
K_6,K,2,3,3,Philadelphia,Lincoln Financial Field,6/26/2026,18:00,26.22,68324,1791455.28
L_1,L,1,2,1,San Francisco Bay Area,Levi's Stadium,6/11/2026,21:00,17.71,68827,1218926.17
L_2,L,3,4,1,Vancouver,BC Place,6/15/2026,15:00,21.67,52497,1137609.99
L_3,L,1,3,2,Vancouver,BC Place,6/18/2026,15:00,21.67,52497,1137609.99
L_4,L,2,4,2,Guadalajara,Estadio Akron,6/18/2026,18:00,21.85,45664,997758.4
L_5,L,1,4,3,Mexico City,Estadio Azteca,6/23/2026,21:00,15.77,80824,1274594.48
L_6,L,2,3,3,New York New Jersey,MetLife Stadium,6/23/2026,21:00,22.66,80663,1827823.58
