match_id,group,team1,team2,matchday,city,stadium,date,kickoff_time,risk,capacity,person_weighted_risk
K_1,K,1,2,1,San Francisco Bay Area,Levi's Stadium,2026-06-16,21:00,17.71,68827,1218926.1700000002
K_2,K,3,4,1,Toronto,BMO Field,2026-06-16,12:00,23.93,43036,1029851.48
K_3,K,1,3,2,Mexico City,Estadio Azteca,2026-06-22,21:00,15.77,80824,1274594.48
K_4,K,2,4,2,Atlanta,Mercedes-Benz Stadium,2026-06-21,12:00,22.41,68239,1529235.99
K_5,K,1,4,3,San Francisco Bay Area,Levi's Stadium,2026-06-26,21:00,17.71,68827,1218926.1700000002
K_6,K,2,3,3,Philadelphia,Lincoln Financial Field,2026-06-27,18:00,26.22,68324,1791455.28
L_1,L,1,2,1,Mexico City,Estadio Azteca,2026-06-15,21:00,15.77,80824,1274594.48
L_2,L,3,4,1,Vancouver,BC Place,2026-06-15,15:00,21.67,52497,1137609.99
L_3,L,1,3,2,Dallas,AT&T Stadium,2026-06-20,12:00,22.73,70649,1605851.77
L_4,L,2,4,2,Guadalajara,Estadio Akron,2026-06-20,18:00,21.85,45664,997758.4
L_5,L,1,4,3,Boston,Gillette Stadium,2026-06-24,18:00,24.32,64146,1560030.72
L_6,L,2,3,3,Los Angeles,SoFi Stadium,2026-06-27,21:00,18.32,70492,1291413.44
